Table,Ave_C_Mean,Ave_C_RMS
110_sec_build_vio,0.0,0.0
110_sec_build_vio,0.0274018569028,0.00010932112197695521
110_sec_build_vio,0.0266666666667,0.02666666666666667
110_sec_build_vio,0.00752110514198,0.0014480400816664013
110_sec_build_vio,0.0,0.0
110_sec_build_vio,0.0,0.0
110_sec_build_vio,0.0136869732267,0.00018315764605944347
110_sec_build_vio,0.0035413153457,0.0009081222271727664
110_sec_build_vio,0.0016975308642,0.00037449124944858637
110_sec_bus_lic,0.0,0.0
110_sec_bus_lic,0.0,0.0
110_sec_bus_lic,0.0,0.0
110_sec_bus_lic,0.0156862745098,0.01109187107743604
110_sec_bus_lic,0.0278083345721,0.0004534742240297863
110_sec_bus_lic,0.0,0.0
110_sec_bus_lic,0.0267453546304,0.0005001151720159606
110_sec_bus_lic,0.0224970083765,0.0019278892658308032
110_sec_bus_lic,0.02699845167,0.0005115757044234289
110_sec_chi_crime,0.0278766586298,4.279561421577497e-05
110_sec_chi_crime,0.0,0.0
110_sec_chi_crime,0.0,0.0
110_sec_chi_crime,0.00682158670972,0.0002028644370154428
110_sec_chi_crime,0.0195423137641,9.508590131093203e-05
110_sec_chi_crime,0.0,0.0
110_sec_chi_crime,0.00436033192486,0.00014101348047105465
110_sec_chi_crime,0.0,0.0
110_sec_chi_crime,0.0,0.0
110_sec_contracts,0.0,0.0
110_sec_contracts,0.00675779450161,0.0005730228261765506
110_sec_contracts,0.0167049808429,0.002194302078663042
110_sec_contracts,0.0,0.0
110_sec_contracts,0.0,0.0
110_sec_contracts,0.0276877635325,0.0005140085896155424
110_sec_contracts,0.0181630546956,0.0007885719564050673
110_sec_contracts,0.0157517899761,0.0014830251054164007
110_sec_contracts,0.0157517899761,0.0014830251054164007
110_sec_graf_rmv,0.0234424566432,0.00017699490183375194
110_sec_graf_rmv,0.4,0.21908902300206642
110_sec_graf_rmv,0.0,0.0
110_sec_graf_rmv,0.0,0.0
110_sec_graf_rmv,0.0,0.0
110_sec_graf_rmv,0.0234424566432,0.00017699490183375194
110_sec_graf_rmv,0.0,0.0
110_sec_graf_rmv,0.0,0.0
110_sec_graf_rmv,0.0,0.0
115_sec_build_vio,0.0,0.0
115_sec_build_vio,0.0411684543783,0.00013383548327381697
115_sec_build_vio,0.0266666666667,0.02666666666666667
115_sec_build_vio,0.0118188795088,0.0017160920778969994
115_sec_build_vio,0.0,0.0
115_sec_build_vio,0.0,0.0
115_sec_build_vio,0.0213766792483,0.00022968906809460338
115_sec_build_vio,0.00303541315346,0.0008261348205002288
115_sec_build_vio,0.00262345679012,0.00048528709527040153
115_sec_bus_lic,0.0,0.0
115_sec_bus_lic,0.0,0.0
115_sec_bus_lic,0.0,0.0
115_sec_bus_lic,0.0,0.0
115_sec_bus_lic,0.0410352972268,0.0005480520835079813
115_sec_bus_lic,0.00474452554745,0.00196538861574252
115_sec_bus_lic,0.0398272286014,0.0006062862360879719
115_sec_bus_lic,0.0370961308337,0.002488468122932939
115_sec_bus_lic,0.0397788099978,0.000617306385047986
115_sec_chi_crime,0.0417257168026,5.233204721744858e-05
115_sec_chi_crime,0.0,0.0
115_sec_chi_crime,0.0,0.0
115_sec_chi_crime,0.0103605553151,0.0002520996772998957
115_sec_chi_crime,0.0297757038182,0.00011757598524563644
115_sec_chi_crime,0.0,0.0
115_sec_chi_crime,0.00696685842285,0.0001775795130742746
115_sec_chi_crime,0.0,0.0
115_sec_chi_crime,0.0,0.0
115_sec_contracts,0.0133333333333,0.013333333333333334
115_sec_contracts,0.0115496851482,0.0007807258502312273
115_sec_contracts,0.0275862068966,0.00285896675956745
115_sec_contracts,0.0,0.0
115_sec_contracts,0.0233333333333,0.014529663145135577
115_sec_contracts,0.0412063097965,0.0006318102687012616
115_sec_contracts,0.0299105607155,0.0010145003166879018
115_sec_contracts,0.0297306512104,0.001992722699788944
115_sec_contracts,0.0297306512104,0.001992722699788944
115_sec_graf_rmv,0.0355337273152,0.0002180992183976758
115_sec_graf_rmv,0.4,0.21908902300206642
115_sec_graf_rmv,0.0,0.0
115_sec_graf_rmv,0.0,0.0
115_sec_graf_rmv,0.0,0.0
115_sec_graf_rmv,0.0355337273152,0.0002180992183976758
115_sec_graf_rmv,0.0,0.0
115_sec_graf_rmv,0.0,0.0
115_sec_graf_rmv,0.0,0.0
11_sec_build_vio,0.0,0.0
11_sec_build_vio,0.00273439891612,3.432482511457443e-05
11_sec_build_vio,0.0,0.0
11_sec_build_vio,0.00138142747506,0.000509075178872663
11_sec_build_vio,0.0,0.0
11_sec_build_vio,0.0,0.0
11_sec_build_vio,0.00137992613337,5.739736037879344e-05
11_sec_build_vio,0.000843170320405,0.0005592959174292411
11_sec_build_vio,0.000154320987654,0.00015432098765432098
11_sec_bus_lic,0.0,0.0
11_sec_bus_lic,0.0,0.0
11_sec_bus_lic,0.0,0.0
11_sec_bus_lic,0.0,0.0
11_sec_bus_lic,0.00268239102786,0.0001389801230065414
