Table,Pre_U_Mean,Pre_C_Mean,Pre_U_RMS,Pre_C_RMS,Ave_U_Mean,Ave_C_Mean,Ave_U_RMS,Ave_C_RMS
1010_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0247249058791,0.0234323576488,9.61650333502e-05,9.34833919524e-05
1010_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0265691570627,0.0247395340424,0.000278856825189,0.000267869407608
1010_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0272121440597,0.0254199360529,0.000200656893404,0.000192780146357
1010_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0270700533549,0.0254444376418,0.000234962054131,0.000226553515334
1010_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0270960724286,0.0255095559201,0.000240800184156,0.000232223882507
1010_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0270185997494,0.0254403492889,0.000219186196852,0.000211389337092
1015_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0275391483331,0.0276943492236,0.000203705231041,0.000199577109667
1015_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0275623028521,0.029092578434,0.000235309275947,0.000241649679821
1015_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0275736128855,0.0301765190182,0.000213970002681,0.000220460897034
1015_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0277668170185,0.0310775793513,0.000227387220596,0.000238280422021
1015_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0277853185569,0.0318130703573,0.000230708783657,0.000244791115034
1015_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0278145911629,0.0323898340875,0.00022129536155,0.000235848082104
11_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0259222264061,0.0301173894981,0.000206937621375,0.000220188653131
11_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0242885522207,0.0281622628489,0.000203081232712,0.000214677068112
11_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0228545863026,0.0264645005208,0.000190554274406,0.000201363823474
11_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0216118173067,0.0249786112602,0.000185022926144,0.000194796805351
11_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0205481298614,0.0237165393373,0.000180487351032,0.000189652892561
11_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0196697108077,0.0226898651607,0.000175373123361,0.000184227023262
55_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0194803201227,0.022142409141,0.000170208628039,0.000178019087858
55_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0192116427201,0.0217053999472,0.000178005650744,0.000184880418286
55_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0189721563558,0.0213338339717,0.000171049880073,0.000177579263907
55_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0188154385635,0.0210154379306,0.000174797726863,0.000180626451534
55_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0186085407599,0.0206764758367,0.000175617459264,0.000180910202998
55_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.018459115018,0.0204249655418,0.000171794957951,0.000176806454012
