Table,Pre_U_Mean,Pre_C_Mean,Pre_U_RMS,Pre_C_RMS,Ave_U_Mean,Ave_C_Mean,Ave_U_RMS,Ave_C_RMS
101_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0277814839111,0.0312816937093,0.010524192105,0.0123197963931
101_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0270979905065,0.0294195774944,0.00997605679932,0.0115651978405
101_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0288516847938,0.0277961413559,0.0110460524199,0.0109683725554
101_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0275367579831,0.0289022438924,0.0104363875835,0.0118664045349
105_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0264680009243,0.0275607610703,0.00990296370078,0.0112519616448
105_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.02575373578,0.026401733556,0.00955137370846,0.0107481413166
105_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0247927717045,0.0252795638455,0.00910949752715,0.0102471619331
105_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0265763640885,0.0245318560479,0.00983210003216,0.00980074505629
105_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0275940583438,0.0236094643552,0.0104864565618,0.00939511721946
105_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0301493759607,0.0226261921218,0.0120791413494,0.00900410945005
110_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0307614582022,0.0221384794514,0.0125716108867,0.00865003307575
110_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0296097140662,0.0216482066485,0.0120976618239,0.00839298291446
110_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0285535942972,0.0212596673858,0.0116502788993,0.00808439159574
110_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0275888451848,0.0210617278654,0.0112448670373,0.00785592840026
110_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0281853643053,0.0236452293145,0.0116987295575,0.00930165676141
110_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0287355695662,0.0229416977292,0.0121204172965,0.00899225709752
115_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0278187254146,0.0239505470245,0.0117326051836,0.00968975103477
115_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0283828582568,0.0239148089525,0.0121422150221,0.00949042307483
115_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0275448159503,0.023479417399,0.0117819159391,0.00923103954171
115_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0280673634631,0.0245465676132,0.0121565935945,0.009701848854
115_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0285794531103,0.0242308946026,0.0125402176174,0.00951483330886
115_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.027822937904,0.024143008543,0.0121926774103,0.00926752324686
11_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0282944706065,0.0247176178657,0.0125223411802,0.00967788784212
11_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0275530748776,0.0240868799071,0.0121960014889,0.00943867662446
11_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.026884400936,0.0235122937273,0.0118846952496,0.00920179486094
11_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0262543878625,0.0229695464965,0.0115921364914,0.00897777703253
11_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0256376869451,0.0235293724052,0.011314213057,0.00936556425493
11_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0250578857353,0.0230002817172,0.0110463811304,0.00914407060427
15_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0244898745081,0.023575345475,0.0107918336225,0.00950485087435
15_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.023967323512,0.0232251263033,0.0105512589224,0.00930258589381
15_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0234497328218,0.0228000395013,0.0103170649182,0.00911181844395
15_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0239218474752,0.0223924491436,0.0106232649292,0.00892846973428
15_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0234266985442,0.0220374836808,0.010399399574,0.0087630788014
15_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0247904941764,0.0225045230874,0.0111970464486,0.00908789289995
510_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0243821892011,0.0222406531702,0.0109766195222,0.00891336398643
510_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0248600702086,0.0219227825112,0.0112705463878,0.00877044279837
510_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.024425177344,0.0215983973617,0.0110499576633,0.00859905028691
510_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0249171098723,0.0222941008054,0.0113144007479,0.00892416319259
510_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0262115010038,0.0221489307635,0.0120342777753,0.00881444916573
510_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0257970978551,0.0227048809883,0.0118121981908,0.00910311969182
515_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.025404216149,0.0225357727959,0.0116020735283,0.00894587562498
