Table,Pre_U_Mean,Pre_C_Mean,Pre_U_RMS,Pre_C_RMS,Ave_U_Mean,Ave_C_Mean,Ave_U_RMS,Ave_C_RMS
1010_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0279781734452,0.0261945714834,8.9020859263e-05,8.56507416762e-05
1010_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0279589245193,0.0263670128193,0.000269690365785,0.000262719458504
1010_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0279086354156,0.0262566931423,0.000194163403886,0.000188957660533
1010_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0280050053685,0.0263878042497,0.000224652526954,0.000218116031187
1010_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0279628821036,0.0263562937298,0.000232183882778,0.000225050710522
1010_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0279468239318,0.0263197046753,0.000211771158443,0.000205138897091
1015_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0278938471894,0.0281581073164,0.000195778214957,0.000192736606296
1015_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0279098659499,0.029545480377,0.000228074901267,0.000235203332728
1015_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0279832244894,0.0305807343811,0.0002076113572,0.000214714928852
1015_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.028098974489,0.0315121219905,0.000219341728904,0.000231028257701
1015_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0281978516414,0.0322024831266,0.000224505416755,0.000238755004205
1015_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0282423606708,0.0327800937382,0.000215158569744,0.000229708864425
11_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0263147296051,0.0304809802558,0.00020105806966,0.000214355336857
11_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0246458023935,0.0284936925619,0.000197158717128,0.000208848763499
11_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0232010914045,0.0267894472326,0.000184979883982,0.000195883732734
11_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0219438374985,0.025286802002,0.000180168279248,0.000189954855313
11_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0208254918633,0.0239704895673,0.000174600144775,0.000183776527301
11_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0198299135935,0.0228020050817,0.00016695918949,0.000175633228337
55_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0195040237243,0.0222881436711,0.00016152754217,0.000169658982707
55_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0192488018876,0.0218593200418,0.000169847192648,0.000177028197208
55_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0190008676699,0.0214701908114,0.000163245189101,0.000170061270048
55_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0187835710826,0.0211151921469,0.000165798839814,0.000172179009028
55_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.018574516353,0.0207670441679,0.000166686761203,0.000172503559794
55_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0184342123966,0.0204648949923,0.000163243250206,0.000168576858829
