Table,Pre_U_Mean,Pre_C_Mean,Pre_U_RMS,Pre_C_RMS,Ave_U_Mean,Ave_C_Mean,Ave_U_RMS,Ave_C_RMS
1010_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0235865330988,0.0190737687511,0.000321686401046,0.000309907955558
1010_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.035176442435,0.0211120030061,0.000794026804363,0.000526264920248
1010_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0457053631593,0.0229815939391,0.000856856337641,0.00043260006898
1010_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0453826869841,0.0290222945886,0.00109794889115,0.000798715257398
1010_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0458953434338,0.0272997539882,0.00222875123611,0.000821431825296
1010_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0427514204721,0.026701571048,0.00189257070994,0.000721130971371
1015_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0438010293483,0.02764801973,0.00166287783766,0.000640344750251
1015_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0429211013926,0.0326452805115,0.00163491063836,0.00100920897805
1015_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.040001552498,0.0363276626493,0.00149339148529,0.00105207626309
1015_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0388279213303,0.0374699636229,0.00139829497394,0.00101850999936
1015_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0394963464212,0.0367556112399,0.0019888368061,0.00103386467167
1015_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0400529258154,0.0372635995199,0.00229818425912,0.00142192427571
101_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0390194698728,0.0345662453486,0.00213483846916,0.00131617166127
101_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0382127578253,0.03226635599,0.00203431767327,0.00123691770267
101_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0392527120473,0.0302690725804,0.00203999057823,0.00115541173413
101_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0391033539278,0.0286239236084,0.00195178541314,0.00109578849561
101_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0380481374273,0.0270692578164,0.0019227446989,0.00106329797102
101_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.037096623918,0.0256706066086,0.00184038685125,0.00100791786866
105_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.037568254285,0.0248728215236,0.00177824634908,0.000961404709774
105_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0370500037266,0.0242456098121,0.00173067654549,0.000939359363062
105_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0366070989804,0.0240508087782,0.00165990606319,0.000902850407058
105_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.036529751611,0.0243280783288,0.00164036151651,0.000934591586218
105_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0359900054966,0.0237450605943,0.00158452169243,0.000904314485741
105_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0357635066405,0.0239517151979,0.00154119140832,0.000895328461186
110_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0355981879381,0.0253955370306,0.00190124444268,0.00128928096312
110_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0343264476752,0.0253820193668,0.00183462296515,0.00126455142421
110_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0331573080824,0.0261995972213,0.00176959497206,0.00123077416564
110_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0321239985513,0.0261794571957,0.00171270399806,0.0012019902864
110_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0310987273569,0.0260929767384,0.00165753703424,0.0011778553685
