Table,Pre_U_Mean,Pre_C_Mean,Pre_U_RMS,Pre_C_RMS,Ave_U_Mean,Ave_C_Mean,Ave_U_RMS,Ave_C_RMS
1010_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.028052716951,0.0275442931378,0.000110467504593,0.000109255402819
1010_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.027835463107,0.0268325516434,0.000286548991018,0.000279811828172
1010_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.029015554212,0.0277862165374,0.000207575112845,0.000202544304329
1010_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.028996532908,0.0273148358023,0.000252585360562,0.000242802580075
1010_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0286326365825,0.0263910401223,0.000267983931843,0.000254558980875
1010_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0289183639102,0.0269231045799,0.000244683097271,0.000233104879899
1015_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0287685512084,0.0277347405551,0.000226229605231,0.000217750582756
1015_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0288888654815,0.0297106869931,0.000263156413729,0.000269001651488
1015_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0286584114721,0.0308607871632,0.000241450104885,0.000248345733122
1015_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0286607698258,0.0315045001476,0.000255155277496,0.000265888082482
1015_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0286943835603,0.0314963269067,0.000266618551177,0.000278449229073
1015_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0305163356328,0.0316808149754,0.000281314105965,0.000270606365111
101_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0307663028679,0.0294271339785,0.000270337038293,0.000252573615233
101_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0307476836847,0.0274952404837,0.000288709676015,0.000244583270995
101_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0319273423971,0.0270066487414,0.000288806367299,0.000243525279883
101_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0317363360689,0.0254798649611,0.000293652427157,0.000235072152706
101_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0316802022375,0.0241586661969,0.000301022043555,0.000228952181896
101_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.031634550298,0.0229645902202,0.000291231200522,0.000218242333933
