Table,Ave_C_Mean,Ave_C_RMS
110_sec_build_vio,0.0277256501785,9.203861958789629e-05
110_sec_build_vio,0.00812832632402,0.00036313404794076354
110_sec_build_vio,0.0276756201398,9.192043966310536e-05
110_sec_build_vio,0.0276045268108,9.369298013478846e-05
110_sec_build_vio,0.0210552632148,0.0001408889418331473
110_sec_build_vio,0.0276373054585,9.308646271180555e-05
110_sec_build_vio,0.0601196707582,0.00021449563895379107
110_sec_build_vio,0.0271511709574,9.98850107796538e-05
110_sec_build_vio,0.0232609713968,0.00013248459275292548
110_sec_bus_lic,0.0240361672736,0.0011173164093700974
110_sec_bus_lic,0.0278083345721,0.0004534742240297857
110_sec_bus_lic,0.0277845633878,0.0004560469631016837
110_sec_bus_lic,0.0278083345721,0.0004534742240297851
110_sec_bus_lic,0.0271795168858,0.0004812272719981559
110_sec_bus_lic,0.0278083345721,0.0004534742240297852
110_sec_bus_lic,0.0277190127475,0.0004583541964722172
110_sec_bus_lic,0.0264813102859,0.00045346657489439963
110_sec_bus_lic,0.0278083345721,0.00045347422402978527
110_sec_chi_crime,0.0278770099941,4.27953526690258e-05
110_sec_chi_crime,0.027015864348,4.98798745500836e-05
110_sec_chi_crime,0.0278769016173,4.279447756295771e-05
110_sec_chi_crime,0.0244405512121,4.571091156943827e-05
110_sec_chi_crime,0.0131389809901,7.626757840362081e-05
110_sec_chi_crime,0.0256122992596,4.487195825190607e-05
110_sec_chi_crime,0.0148646242784,5.54054360423157e-05
110_sec_chi_crime,0.0278766737727,4.2795517558969734e-05
110_sec_chi_crime,0.0266707329242,5.199151660669957e-05
110_sec_contracts,0.0264715656754,0.00034094578607746126
110_sec_contracts,0.0257465500524,0.0003343654245759898
110_sec_contracts,0.0266763172058,0.0003294056787088055
110_sec_contracts,0.0267139057786,0.0003326361486097488
110_sec_contracts,0.0271920030573,0.00030063334510782
110_sec_contracts,0.0280012734205,0.00031075725209048823
110_sec_contracts,0.0266859495758,0.0003283615242930115
110_sec_contracts,0.0258321826009,0.0003050504428386976
110_sec_contracts,0.0250112336248,0.00042653825587508307
110_sec_graf_rmv,0.0278741353242,0.00010884953384417283
110_sec_graf_rmv,0.0259678641754,0.00013904205117616503
110_sec_graf_rmv,0.0197251256264,0.00012181895913661578
110_sec_graf_rmv,0.0408669878273,0.00016389780374879146
110_sec_graf_rmv,0.123620767767,0.0005907475091993594
110_sec_graf_rmv,0.0275193779726,0.00010903017234263694
110_sec_graf_rmv,0.0276642757382,0.00011188980809324771
110_sec_graf_rmv,0.0221740142211,0.000112934593764071
110_sec_graf_rmv,0.0278892500841,0.00010886138588262204
115_sec_build_vio,0.041742767755,0.00011291277927610979
115_sec_build_vio,0.0127092050209,0.0004554004769178358
115_sec_build_vio,0.0417823709225,0.00011289955241678958
115_sec_build_vio,0.0416350634569,0.00011502806992479903
115_sec_build_vio,0.0324882028698,0.0001758326211887576
115_sec_build_vio,0.0416171645298,0.00011410988341382129
115_sec_build_vio,0.0842236668782,0.0002560352415561524
115_sec_build_vio,0.0410110530835,0.00012286697049715599
115_sec_build_vio,0.035674239541,0.0001646538998925148
115_sec_bus_lic,0.0369709908326,0.0013920790114832148
115_sec_bus_lic,0.0410352972268,0.0005480520835079835
115_sec_bus_lic,0.0408653604832,0.0005500614521312782
115_sec_bus_lic,0.0410352972268,0.0005480520835079835
115_sec_bus_lic,0.0403406128715,0.0005826876805930406
115_sec_bus_lic,0.0410352972268,0.0005480520835079835
115_sec_bus_lic,0.0408614904938,0.0005537818358536523
115_sec_bus_lic,0.0394858307352,0.0005511581131684672
115_sec_bus_lic,0.0410352972268,0.0005480520835079836
115_sec_chi_crime,0.0417258791535,5.2331479520431776e-05
115_sec_chi_crime,0.040611192629,6.11715393334086e-05
115_sec_chi_crime,0.0417263069577,5.23311698596829e-05
115_sec_chi_crime,0.0367490359046,5.600016349980998e-05
115_sec_chi_crime,0.0200636748484,9.425338450438948e-05
115_sec_chi_crime,0.0384140029707,5.490556244929306e-05
115_sec_chi_crime,0.0226880855288,6.831829654750777e-05
115_sec_chi_crime,0.0417257692247,5.233199523020665e-05
115_sec_chi_crime,0.0400640155786,6.373773080539111e-05
115_sec_contracts,0.0406892315129,0.000425422741778584
115_sec_contracts,0.0398077771784,0.0004189766591036456
115_sec_contracts,0.040975817976,0.0004113637650924888
115_sec_contracts,0.0409608209832,0.00041445887229838504
115_sec_contracts,0.0419511464109,0.00037660508805869295
115_sec_contracts,0.0430883758519,0.00038918268249041836
115_sec_contracts,0.0409804806603,0.00040988118884977427
115_sec_contracts,0.0399561189664,0.0003822040487033798
115_sec_contracts,0.0390342539145,0.0005395794593994963
115_sec_graf_rmv,0.0418505509877,0.000133447271537353
115_sec_graf_rmv,0.0392333221438,0.00017107112652597477
115_sec_graf_rmv,0.0299444940235,0.00015004393516461367
115_sec_graf_rmv,0.0586585537733,0.00019428425006570997
115_sec_graf_rmv,0.148799690385,0.0006233297483033593
115_sec_graf_rmv,0.0413581332431,0.00013374469668117714
115_sec_graf_rmv,0.0416838575141,0.0001375465487529568
115_sec_graf_rmv,0.0337108508166,0.0001392668668863966
115_sec_graf_rmv,0.0418646537688,0.00013344717189498075
11_sec_build_vio,0.00279008228014,2.9119423672409716e-05
11_sec_build_vio,0.00104189923346,0.0001368220310400404
11_sec_build_vio,0.00279571974949,2.9172298590826063e-05
11_sec_build_vio,0.00278022347728,2.9647511856876927e-05
11_sec_build_vio,0.00213610390609,4.5011348182622104e-05
11_sec_build_vio,0.00277080446051,2.930312965816732e-05
11_sec_build_vio,0.00717486157994,7.248095901176598e-05
11_sec_build_vio,0.00272571513644,3.1582471518702294e-05
11_sec_build_vio,0.00233956436455,4.19128846903562e-05
11_sec_bus_lic,0.00246138390054,0.000348019752870803
11_sec_bus_lic,0.00268239102786,0.00013898012300654137
11_sec_bus_lic,0.00268710157779,0.00013986691347403303
11_sec_bus_lic,0.00268239102786,0.0001389801230065414
11_sec_bus_lic,0.00268010581398,0.0001501648774467437
11_sec_bus_lic,0.00268239102786,0.00013898012300654137
11_sec_bus_lic,0.00268799891531,0.00014102770410124698
11_sec_bus_lic,0.00259020393934,0.00014035783258983675
11_sec_bus_lic,0.00268239102786,0.0001389801230065414
11_sec_chi_crime,0.00279998149113,1.3547045691102968e-05
11_sec_chi_crime,0.00269645785135,1.571609262945335e-05
11_sec_chi_crime,0.00279989388577,1.354662183339059e-05
